id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_per_night,minimum_nights,annual_availability
16475166,"Sea, Sun, Views, A/C, Netflix, Cozy Bed",108137080,Ciutat Vella,la Barceloneta,41.38021637,2.186376974,Entire home/apt,175,32,360
16475404,Big apartment in Eixample,47171261,Eixample,la Sagrada Família,41.4080247,2.177310129,Entire home/apt,68,180,364
16476025,Amazing Renovated Sunny Apartment In The Gothic !,108147170,Ciutat Vella,el Barri Gòtic,41.38210373,2.17924198,Entire home/apt,47,32,152
16477085,Cálida habitación con cama doble en Poble Sec,61055181,Sants-Montjuïc,el Poble Sec,41.37217874,2.160116566,Private room,22,2,0
16478119,Habitación en Plaza España,29319856,Eixample,Sant Antoni,41.37569011,2.153248675,Private room,35,3,342
16478595,Habitacion Single Exterior,1782585,Ciutat Vella,el Raval,41.38384017,2.168082002,Private room,25,30,365
16483920,Cozy design apartment 10 min ramblas,1432835,Eixample,l'Antiga Esquerra de l'Eixample,41.39013424,2.158707351,Entire home/apt,95,3,322
16484007,skyline charming apartment city center,5432336,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40794376,2.207055969,Entire home/apt,69,32,249
16485345,"Stylish, bright, balcony, close to Sagrada Familia",5878688,Eixample,la Dreta de l'Eixample,41.3981901,2.170745149,Entire home/apt,150,2,316
16485441,GRACIA. SINGLE ROOM (BIG BED) EXTERIOR TO GARDEN,45260292,Horta-Guinardó,Can Baró,41.41727511,2.157590102,Private room,24,90,114
16486504,"Bright, stylish, balcony, near the Sagrada Familia",5878688,Eixample,la Dreta de l'Eixample,41.39729664,2.171127174,Entire home/apt,150,2,346
16486723,The nicest room near Plaza España!!,108252150,Sants-Montjuïc,Hostafrancs,41.37575787,2.145594655,Private room,25,1,0
16486879,"Bright, elegant, central, near the Sagrada Familia",5878688,Eixample,la Dreta de l'Eixample,41.39887369,2.171168709,Entire home/apt,150,2,352
